"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","ROW _ i","Data Resource ID","Data Resource Name","Water Observations From Space","Aridity index - annual mean","Distance - to any water (weighted)","2030A1BMk35M: Water potential - annual mean","Moisture - average","Moisture - variability","Occurrence status assumed to be present","Geodetic datum assumed WGS84","Name not recognised"
"97115b0e-0eee-415a-a78c-f6b00cba32e9","","","","","","","","","","","","","","","","","","","-38.31340699","145.623034","","-38.31340699","145.623034","","","","","","","","","","","true","682","drt19609","","0.0","1.0992326","0.06403124","-0.6162987","61.0","8.0","true","true","true"
"97b99067-e70c-4854-8754-c50773e6081d","","","","","","","","","","","","","","","","","","","-37.77864098","148.412272","","-37.77864098","148.412272","","","","","","","","","","","true","54","drt19609","","61.254612","0.8756339","0.0","-0.83929336","53.0","8.0","true","true","true"
"97bea46f-0d69-4648-9ce2-48365c47a603","","","","","","","","","","","","","","","","","","","-38.07146503","143.416571","","-38.07146503","143.416571","","","","","","","","","","","true","504","drt19609","","45.714287","0.7286894","0.0","-1.1620388","52.0","4.0","true","true","true"
"97c60ac0-9742-476d-a362-5c3b8b0417b1","","","","","","","","","","","","","","","","","","","-36.928303","148.165382","","-36.928303","148.165382","","","","","","","","","","","true","721","drt19609","","0.0","2.858966","0.0","-0.25159103","69.0","8.0","true","true","true"
"98312cfb-4d9a-4d25-9de1-1331f4a016cc","","","","","","","","","","","","","","","","","","","-38.10981601","141.136278","","-38.10981601","141.136278","","","","","","","","","","","true","777","drt19609","","0.0","1.0518296","0.036055513","-0.8159471","","","true","true","true"
"9886c004-55e0-4c35-8ba1-030d8508844b","","","","","","","","","","","","","","","","","","","-37.84350601","146.26966","","-37.84350601","146.26966","","","","","","","","","","","true","31","drt19609","","2.2988505","4.6929717","0.0","-0.041006826","77.0","5.0","true","true","true"
"98abca1c-c409-486c-8bae-7d795ae70ed4","","","","","","","","","","","","","","","","","","","-36.05307299","146.738698","","-36.05307299","146.738698","","","","","","","","","","","true","1028","drt19609","","0.990099","0.7575681","0.0","-0.9948337","47.0","9.0","true","true","true"
"98eb66e4-20c9-4070-9ae6-27b76cd9d600","","","","","","","","","","","","","","","","","","","-37.58808101","142.445931","","-37.58808101","142.445931","","","","","","","","","","","true","111","drt19609","","8.955224","0.7942135","0.0","-1.0043088","50.0","7.0","true","true","true"
"9907be1c-4274-49cf-b131-303551063c0c","","","","","","","","","","","","","","","","","","","-36.46575297","146.13095","","-36.46575297","146.13095","","","","","","","","","","","true","11","drt19609","","56.016598","0.81067556","0.089999996","-0.9875455","47.0","10.0","true","true","true"
"991a6999-bb3d-4939-b44d-b41704bee5f5","","","","","","","","","","","","","","","","","","","-38.31308696","145.623842","","-38.31308696","145.623842","","","","","","","","","","","true","670","drt19609","","0.0","1.0992326","0.06403124","-0.6162987","61.0","8.0","true","true","true"
