LAB_SAMPLE_ID,DATASET,TC,TN,OC,IC
VW0311,Survey,291.3336923,12.22699481,332.154999,
VW0312,Survey,226.6394757,10.02479078,224.48939,
VW0313,Survey,381.1772045,18.38572623,433.5731747,
VW0314,Survey,79.80874441,4.852565745,82.2395241,
VW0315,Survey,8.555935053,0.858942114,10.09641093,
VW0316,Survey,3.682422833,0.210771157,3.426600828,
VW0317,Survey,5.397346522,0.344461,6.730335416,
VW0318,Survey,2.48291873,0.139355802,3.419366817,
VW0319,Survey,66.81790531,4.666857205,65.94895184,
VW0320,Survey,32.66692882,2.161241053,35.83457847,
VW0321,Survey,14.53030715,0.866163401,15.03300553,
VW0322,Survey,14.59607507,0.880327512,16.80447365,
VW0323,Survey,38.06878894,2.78922733,36.61382648,
VW0324,Survey,10.84130695,0.719418642,12.24125156,
VW0325,Survey,9.604687334,0.609890868,11.05379633,
VW0326,Survey,10.05907193,0.555274752,10.93472783,
VW0327,Survey,41.21466662,3.277392467,39.24293288,
VW0328,Survey,13.02257856,1.073383026,17.88351909,
VW0329,Survey,11.89831897,0.689891709,15.91676453,
VW0330,Survey,7.755094331,0.481133952,10.18320218,
VW0331,Survey,64.06907463,4.013146785,50.52672049,
VW0332,Survey,29.56034919,2.202336137,24.83160453,
VW0333,Survey,10.38201218,0.654997729,8.07941399,
VW0334,Survey,4.025849628,0.33813911,3.653790197,
VW0335,Survey,41.02661266,2.662699441,28.2328678,
VW0336,Survey,20.88947939,1.404528376,16.92854245,
VW0337,Survey,11.7302962,0.748980855,8.002878892,
VW0338,Survey,6.679753968,0.468074495,4.06645777,
VW0339,Survey,48.33034571,3.125756816,36.03150689,
VW0340,Survey,19.87411173,1.504142809,15.56259894,
VW0341,Survey,11.48967289,0.55919811,6.077003965,
VW0342,Survey,7.73560744,0.492626129,5.493314064,
VW0343,Survey,72.72187195,4.796253301,76.04614356,
VW0344,Survey,6.13850176,0.71959321,8.889646366,
VW0345,Survey,3.59345101,0.47967509,7.940447694,
VW0346,Survey,0.131555062,0.071416042,1.715790854,
VW0347,Survey,0.700610348,0.044683322,0.829052862,
VW0348,Survey,63.74409632,4.574041967,67.6771779,
VW0349,Survey,1.481661045,0.141746678,2.988949984,
VW0350,Survey,7.75877627,0.557294798,9.291346445,
VW0351,Survey,0.317693431,0.046046679,0.343076939,
VW0352,Survey,51.5900157,3.810432833,45.6804988,
VW0353,Survey,17.26881189,1.331501365,15.72077299,
VW0354,Survey,17.30995995,1.217387843,16.22625023,
VW0355,Survey,20.74585688,1.318064725,19.12003304,
VW0356,Survey,35.71210987,2.891217328,33.92970466,
VW0357,Survey,25.58427445,1.687621837,21.40662124,
VW0358,Survey,13.06291149,0.840839116,10.78778259,
VW0359,Survey,28.72464757,1.538391222,19.6683114,
VW0360,Survey,28.60385294,1.399451144,21.6838118,
VW0361,Survey,26.85988175,1.401505558,21.08734567,
VW0362,Survey,23.79033792,1.384100484,23.36750766,
VW0363,Survey,18.93555225,1.082298993,21.54137793,
VW0364,Survey,10.57998573,0.704905659,14.48884083,
VW0365,Survey,10.51420184,0.702236626,14.92833224,
VW0366,Survey,17.41564832,1.124310312,16.90393065,
VW0367,Survey,21.60118965,1.210343224,27.76102269,
VW0368,Survey,10.31754786,0.823310154,13.85269593,
VW0369,Survey,10.25320105,0.726710898,14.18759196,
VW0370,Survey,11.66594765,0.71977747,15.23247229,
VW0371,Survey,29.80207852,1.499187195,30.39112922,
VW0372,Survey,11.52081766,0.677602428,12.81747402,
VW0373,Survey,11.17567574,0.612888412,14.70533824,
VW0374,Survey,13.5092782,0.818104512,18.46232696,
VW0375,Survey,14.85467264,1.043584834,22.23890168,
VW0376,Survey,361.623469,22.50312611,362.0697313,
VW0377,Survey,286.8968603,17.07777941,283.9053133,
VW0378,Survey,280.5799203,17.43008225,275.2768768,
VW0379,Survey,120.8196672,8.004344348,94.03842247,
VW0380,Survey,34.48752472,2.33319515,36.68588013,
VW0381,Survey,427.3667271,20.94886492,465.8289106,
VW0382,Survey,303.8679999,17.92974533,305.858825,
VW0383,Survey,249.0721553,15.71962318,246.1575861,
VW0384,Survey,52.26993574,3.073233388,36.33833924,
VW0385,Survey,30.05642468,2.297746652,45.56422802,
VW0386,Survey,227.8267228,15.02721349,217.2510915,
VW0387,Survey,453.9869706,8.367510802,458.8918015,
VW0388,Survey,198.0245613,14.00741405,171.5303612,
VW0389,Survey,166.2420844,11.48745617,156.0110914,
VW0390,Survey,79.40850521,5.297229068,76.70580449,
VW0391,Survey,60.77045948,4.496617794,59.90451952,
VW0392,Survey,14.7427355,1.727111126,16.21221907,
VW0393,Survey,1.009233215,0.510056643,1.012663841,
VW0394,Survey,40.31782654,3.355216476,42.01942245,
VW0395,Survey,11.0469551,1.144713828,11.98110997,
VW0396,Survey,1.830655002,0.414233575,1.653286783,
VW0397,Survey,7.559321334,0.70537473,10.14003397,
VW0398,Survey,39.49482713,2.795309799,38.88696016,
VW0399,Survey,13.11796403,1.042349112,12.48633603,
VW0400,Survey,6.674921787,0.645807355,8.450497837,
VW0401,Survey,92.39496557,4.883547516,74.20859374,
VW0402,Survey,35.7787131,2.263053879,22.60683926,
VW0403,Survey,30.00510965,1.918080963,18.14053761,
VW0404,Survey,28.83438689,1.633567728,15.50237854,
VW0405,Survey,22.43676267,1.667928339,14.08047574,
VW0406,Survey,75.9367065,4.389737329,53.50923963,
VW0407,Survey,25.26628533,1.59951162,14.04141041,
VW0408,Survey,23.598318,1.519714476,13.59048132,
VW0409,Survey,22.82409539,1.361678948,13.12070955,
VW0410,Survey,18.75396644,1.246954122,15.72174838,
VW0411,Survey,143.6934433,7.998935841,119.5035953,
VW0412,Survey,33.84095602,2.164938505,22.05371212,
VW0413,Survey,25.34799263,1.58755968,14.59868076,
VW0414,Survey,21.99265767,1.435757529,11.7825574,
VW0415,Survey,18.28621999,1.1448572,9.326543416,
VW0416,Survey,71.11247002,5.035639225,67.81176634,
VW0417,Survey,28.47666334,1.70981253,26.45549967,
VW0418,Survey,18.36543311,0.776024275,14.54428481,
VW0419,Survey,19.55100641,0.775167902,16.36053647,
VW0420,Survey,181.4468268,10.73448243,187.1552594,
VW0421,Survey,27.27741004,1.757742988,25.55056833,
VW0422,Survey,21.68585144,1.170901455,20.7030005,
VW0423,Survey,16.1199038,0.977263725,17.88488928,
VW0424,Survey,98.49508493,6.408871981,97.2636003,
VW0425,Survey,27.30144011,1.798605537,25.60264873,
VW0426,Survey,28.0903498,1.763735395,29.05354454,
VW0427,Survey,21.72845418,1.116359183,23.11933538,
VW0428,Survey,178.0009589,11.51611373,175.6777939,
VW0429,Survey,19.16575449,1.880332048,14.2384419,
VW0430,Survey,113.686134,6.767151891,111.5277508,
VW0431,Survey,23.73709532,1.810006983,20.6017403,
VW0432,Survey,237.8809591,14.02316754,242.1683743,
VW0433,Survey,41.67487465,3.453498173,35.7734974,
VW0434,Survey,6.249210025,0.601956412,4.87016044,
VW0435,Survey,290.8965614,18.98249919,263.3041702,
VW0436,Survey,172.4538889,9.39421887,182.25594,
VW0437,Survey,278.3298296,17.8524587,278.4442882,
VW0438,Survey,192.3916025,8.195234504,206.0390385,
VW0439,Survey,220.3823383,15.21682577,223.6840298,
VW0440,Survey,290.6714698,17.98602163,291.0623663,
VW0441,Survey,286.3550993,18.54672604,286.4959079,
VW0442,Survey,271.2622176,17.34216073,277.8278911,
VW0443,Survey,282.6285496,19.580448,293.4218258,
VW0444,Survey,284.8020762,20.06652947,284.8402174,
VW0445,Survey,339.8101439,21.24684492,338.6258752,
VW0446,Survey,191.4705945,13.55332444,164.778813,
VW0447,Survey,320.8820177,22.227142,326.707794,
VW0448,Survey,229.622804,15.32602703,230.763139,
VW0449,Survey,96.75901433,3.83227998,49.98556458,31.26080177
VW0450,Survey,28.03969374,0.523895994,15.5656367,15.41037462
VW0451,Survey,10.18868525,0.135566822,8.543747775,8.898467981
VW0452,Survey,5.09892077,0.358111284,26.94513136,4.631878752
VW0453,Survey,194.311333,9.580547801,82.24131969,
VW0454,Survey,18.87061402,0.467071644,13.92595806,
VW0455,Survey,27.94762148,0.750066506,22.61809971,
VW0456,Survey,2.17603802,0.670276567,6.728882692,
VW0457,Survey,112.591411,4.353073306,57.82283868,
VW0458,Survey,8.271571569,0.0420143,23.5979488,10.0269819
VW0459,Survey,7.777305044,0.16772121,24.34591517,
VW0460,Survey,2.124918444,0.520018958,7.04413003,
VW0461,Survey,91.66383122,6.09134978,82.77142049,
VW0462,Survey,25.36239386,3.078021116,32.82414514,
VW0463,Survey,4.579257606,0.770954593,4.767947375,
VW0464,Survey,38.66624753,0.444691857,2.807162861,38.44793641
VW0465,Survey,267.7192981,14.12526237,271.3811443,
VW0466,Survey,73.49603752,6.625321561,55.99672575,
VW0467,Survey,14.96214346,1.10698385,7.108377152,
VW0468,Survey,19.72031385,0.129113521,0.001802525,
VW0469,Survey,195.1575472,12.2056602,172.0226357,
VW0470,Survey,37.09919681,3.315236167,30.08197797,
VW0471,Survey,14.43353312,1.27122468,7.720373445,
VW0472,Survey,8.099989218,0.176547535,0.577315491,
VW0473,Survey,23.93722163,2.096999402,23.43178593,
VW0474,Survey,20.5207641,1.79488987,19.26188143,
VW0475,Survey,11.36266343,0.821303381,11.46111597,
VW0476,Survey,28.85879227,2.504037232,28.20401246,
VW0477,Survey,20.32342544,1.645014022,19.8523268,
VW0478,Survey,25.44839273,2.150290834,24.18866173,
VW0479,Survey,20.61916433,1.816327635,23.20832552,
VW0480,Survey,17.37286588,1.456940733,17.36230558,
VW0481,Survey,141.4829365,4.137160068,28.94358225,
VW0482,Survey,38.44624985,0.333380482,0.423920923,
VW0483,Survey,33.12390398,0.089855278,5.899453197,28.11897727
VW0484,Survey,118.8025881,3.312094247,24.24947899,62.4104424
VW0485,Survey,78.86015434,0.670493377,3.561380414,72.29606034
VW0486,Survey,60.78277706,0.34176476,0.977912728,
VW0487,Survey,120.5134102,3.468984475,24.89769488,57.35832637
VW0488,Survey,23.04787267,0.224870192,6.211001027,17.75372551
VW0489,Survey,18.90054757,0.068323896,3.406962874,18.18036566
VW0490,Survey,204.0263711,10.96869486,195.7489205,
